Shutting down thread pool...
Starting thread pool with 1 slots...

weka.classifiers.meta.MultiSearch
=================================
Options: -E ACC -search "weka.core.setupgenerator.MathParameter -property classifier.ridge -min -12.0 -max -2.0 -step 1.0 -base 10.0 -expression pow(BASE,I)" -search "weka.core.setupgenerator.MathParameter -property classifier.maxIts -min 1.0 -max 15.0 -step 1.0 -base 10.0 -expression I" -sample-size 100.0 -log-file C:\Users\Su\Desktop\log.txt -initial-folds 10 -subsequent-folds 10 -num-slots 1 -S 1 -W weka.classifiers.functions.Logistic -- -R 1.0E-8 -M -1
Performance (-11, 3): 87.3876614218953 (ACC): cached=false
Performance (-10, 3): 87.3876614218953 (ACC): cached=false
Performance (-9, 3): 87.3876614218953 (ACC): cached=false
Performance (-8, 3): 87.3876614218953 (ACC): cached=false
Performance (-7, 3): 87.3876614218953 (ACC): cached=false
Performance (-6, 3): 87.3876614218953 (ACC): cached=false
Performance (-5, 3): 87.3876614218953 (ACC): cached=false
Performance (-4, 3): 87.3876614218953 (ACC): cached=false
Performance (-3, 3): 87.3876614218953 (ACC): cached=false
Performance (-2, 3): 87.3876614218953 (ACC): cached=false
Performance (-12, 4): 87.3876614218953 (ACC): cached=false
Performance (-11, 4): 87.3876614218953 (ACC): cached=false
Performance (-10, 4): 87.3876614218953 (ACC): cached=false
Performance (-9, 4): 87.3876614218953 (ACC): cached=false
Performance (-8, 4): 87.3876614218953 (ACC): cached=false
Performance (-7, 4): 87.3876614218953 (ACC): cached=false
Performance (-6, 4): 87.3876614218953 (ACC): cached=false
Performance (-5, 4): 87.3876614218953 (ACC): cached=false
Performance (-4, 4): 87.3876614218953 (ACC): cached=false
Performance (-3, 4): 87.3876614218953 (ACC): cached=false
Performance (-2, 4): 87.3876614218953 (ACC): cached=false
Performance (-12, 5): 87.43328816746399 (ACC): cached=false
Performance (-11, 5): 87.43328816746399 (ACC): cached=false
Performance (-10, 5): 87.43328816746399 (ACC): cached=false
Performance (-9, 5): 87.43328816746399 (ACC): cached=false
Performance (-8, 5): 87.43328816746399 (ACC): cached=false
Performance (-7, 5): 87.43328816746399 (ACC): cached=false
Performance (-6, 5): 87.43328816746399 (ACC): cached=false
Performance (-5, 5): 87.43328816746399 (ACC): cached=false
Performance (-4, 5): 87.43328816746399 (ACC): cached=false
Performance (-3, 5): 87.43328816746399 (ACC): cached=false
Performance (-2, 5): 87.43328816746399 (ACC): cached=false
Performance (-12, 6): 87.51624588667976 (ACC): cached=false
Performance (-11, 6): 87.51624588667976 (ACC): cached=false
Performance (-10, 6): 87.51624588667976 (ACC): cached=false
Performance (-9, 6): 87.51624588667976 (ACC): cached=false
Performance (-8, 6): 87.51624588667976 (ACC): cached=false
Performance (-7, 6): 87.51624588667976 (ACC): cached=false
Performance (-6, 6): 87.51624588667976 (ACC): cached=false
Performance (-5, 6): 87.51624588667976 (ACC): cached=false
Performance (-4, 6): 87.51624588667976 (ACC): cached=false
Performance (-3, 6): 87.51624588667976 (ACC): cached=false
Performance (-2, 6): 87.51624588667976 (ACC): cached=false
Performance (-12, 7): 87.59643834858834 (ACC): cached=false
Performance (-11, 7): 87.59643834858834 (ACC): cached=false
Performance (-10, 7): 87.59643834858834 (ACC): cached=false
Performance (-9, 7): 87.59643834858834 (ACC): cached=false
Performance (-8, 7): 87.59643834858834 (ACC): cached=false
Performance (-7, 7): 87.59643834858834 (ACC): cached=false
Performance (-6, 7): 87.59643834858834 (ACC): cached=false
Performance (-5, 7): 87.59643834858834 (ACC): cached=false
Performance (-4, 7): 87.59643834858834 (ACC): cached=false
Performance (-3, 7): 87.59643834858834 (ACC): cached=false
Performance (-2, 7): 87.59643834858834 (ACC): cached=false
Performance (-12, 8): 87.58122943339878 (ACC): cached=false
Performance (-11, 8): 87.58122943339878 (ACC): cached=false
Performance (-10, 8): 87.58122943339878 (ACC): cached=false
Performance (-9, 8): 87.58122943339878 (ACC): cached=false
Performance (-8, 8): 87.58122943339878 (ACC): cached=false
Performance (-7, 8): 87.58122943339878 (ACC): cached=false
Performance (-6, 8): 87.58122943339878 (ACC): cached=false
Performance (-5, 8): 87.58122943339878 (ACC): cached=false
Performance (-4, 8): 87.58122943339878 (ACC): cached=false
Performance (-3, 8): 87.58122943339878 (ACC): cached=false
Performance (-2, 8): 87.58122943339878 (ACC): cached=false
Performance (-12, 9): 87.59090783397396 (ACC): cached=false
Performance (-11, 9): 87.59090783397396 (ACC): cached=false
Performance (-10, 9): 87.59090783397396 (ACC): cached=false
Performance (-9, 9): 87.59090783397396 (ACC): cached=false
Performance (-8, 9): 87.59090783397396 (ACC): cached=false
Performance (-7, 9): 87.59090783397396 (ACC): cached=false
Performance (-6, 9): 87.59090783397396 (ACC): cached=false
Performance (-5, 9): 87.59090783397396 (ACC): cached=false
Performance (-4, 9): 87.59090783397396 (ACC): cached=false
Performance (-3, 9): 87.58952520532036 (ACC): cached=false
Performance (-2, 9): 87.59090783397396 (ACC): cached=false
Performance (-12, 10): 87.5715510328236 (ACC): cached=false
Performance (-11, 10): 87.5715510328236 (ACC): cached=false
Performance (-10, 10): 87.5715510328236 (ACC): cached=false
Performance (-9, 10): 87.5715510328236 (ACC): cached=false
Performance (-8, 10): 87.5715510328236 (ACC): cached=false
Performance (-7, 10): 87.5715510328236 (ACC): cached=false
Performance (-6, 10): 87.5715510328236 (ACC): cached=false
Performance (-5, 10): 87.5715510328236 (ACC): cached=false
Performance (-4, 10): 87.5715510328236 (ACC): cached=false
Performance (-3, 10): 87.5715510328236 (ACC): cached=false
Performance (-2, 10): 87.57016840417 (ACC): cached=false
Performance (-12, 11): 87.62685617896746 (ACC): cached=false
Performance (-11, 11): 87.62685617896746 (ACC): cached=false
Performance (-10, 11): 87.62685617896746 (ACC): cached=false
Performance (-9, 11): 87.62685617896746 (ACC): cached=false
Performance (-8, 11): 87.62685617896746 (ACC): cached=false
Performance (-7, 11): 87.62685617896746 (ACC): cached=false
Performance (-6, 11): 87.62685617896746 (ACC): cached=false
Performance (-5, 11): 87.62685617896746 (ACC): cached=false
Performance (-4, 11): 87.62685617896746 (ACC): cached=false
Performance (-3, 11): 87.62685617896746 (ACC): cached=false
Performance (-2, 11): 87.62685617896746 (ACC): cached=false
Performance (-12, 12): 87.58122943339878 (ACC): cached=false
Performance (-11, 12): 87.58122943339878 (ACC): cached=false
Performance (-10, 12): 87.58122943339878 (ACC): cached=false
Performance (-9, 12): 87.58122943339878 (ACC): cached=false
Performance (-8, 12): 87.58122943339878 (ACC): cached=false
Performance (-7, 12): 87.58122943339878 (ACC): cached=false
Performance (-6, 12): 87.58122943339878 (ACC): cached=false
Performance (-5, 12): 87.58122943339878 (ACC): cached=false
Performance (-4, 12): 87.58122943339878 (ACC): cached=false
Performance (-3, 12): 87.58122943339878 (ACC): cached=false
Performance (-2, 12): 87.58122943339878 (ACC): cached=false
Performance (-12, 13): 87.62132566435307 (ACC): cached=false
Performance (-11, 13): 87.62132566435307 (ACC): cached=false
Performance (-10, 13): 87.62132566435307 (ACC): cached=false
Performance (-9, 13): 87.62132566435307 (ACC): cached=false
Performance (-8, 13): 87.62132566435307 (ACC): cached=false
Performance (-7, 13): 87.62132566435307 (ACC): cached=false
Performance (-6, 13): 87.62132566435307 (ACC): cached=false
Performance (-5, 13): 87.62132566435307 (ACC): cached=false
Performance (-4, 13): 87.62132566435307 (ACC): cached=false
Performance (-3, 13): 87.62132566435307 (ACC): cached=false
Performance (-2, 13): 87.62132566435307 (ACC): cached=false
Performance (-12, 14): 87.61441252108509 (ACC): cached=false
Performance (-11, 14): 87.61441252108509 (ACC): cached=false
Performance (-10, 14): 87.61441252108509 (ACC): cached=false
Performance (-9, 14): 87.61441252108509 (ACC): cached=false
Performance (-8, 14): 87.61441252108509 (ACC): cached=false
Performance (-7, 14): 87.61441252108509 (ACC): cached=false
Performance (-6, 14): 87.61441252108509 (ACC): cached=false
Performance (-5, 14): 87.61441252108509 (ACC): cached=false
Performance (-4, 14): 87.61441252108509 (ACC): cached=false
Performance (-3, 14): 87.61441252108509 (ACC): cached=false
Performance (-2, 14): 87.61441252108509 (ACC): cached=false
Performance (-12, 15): 87.60058623454913 (ACC): cached=false
Performance (-11, 15): 87.60058623454913 (ACC): cached=false
Performance (-10, 15): 87.60058623454913 (ACC): cached=false
Performance (-9, 15): 87.60058623454913 (ACC): cached=false
Performance (-8, 15): 87.60058623454913 (ACC): cached=false
Performance (-7, 15): 87.60058623454913 (ACC): cached=false
Performance (-6, 15): 87.60058623454913 (ACC): cached=false
Performance (-5, 15): 87.60058623454913 (ACC): cached=false
Performance (-4, 15): 87.60058623454913 (ACC): cached=false
Performance (-3, 15): 87.60058623454913 (ACC): cached=false
Performance (-2, 15): 87.59920360589553 (ACC): cached=false

Correlation coefficient:
2-dimensional space:
 - 1. dimension: classifier.ridge, min: -12.0, max: -2.0, step: 1.0
 - 2. dimension: classifier.maxIts, min: 1.0, max: 15.0, step: 1.0
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN



Root mean squared error:
2-dimensional space:
 - 1. dimension: classifier.ridge, min: -12.0, max: -2.0, step: 1.0
 - 2. dimension: classifier.maxIts, min: 1.0, max: 15.0, step: 1.0
0.3165554636281258
0.3165554636281251
0.3165554636281205
0.3165554636280883
0.3165554636277467
0.3165554636243505
0.31655546359035464
0.31655546325042383
0.3165554598511245
0.3165554258598107
0.31655508611730654
0.3169567740246885
0.3169567740246882
0.31695677402468303
0.3169567740246392
0.3169567740241818
0.3169567740196161
0.31695677397396493
0.3169567735174528
0.3169567689523288
0.31695672330277674
0.3169562669743086
0.3169505482203762
0.31695054822037594
0.31695054822037055
0.31695054822032115
0.3169505482198297
0.31695054821490143
0.31695054816562734
0.31695054767291303
0.31695054274577666
0.3169504934761563
0.31695000095551207
0.3170361875468049
0.3170361875468044
0.3170361875467997
0.3170361875467445
0.31703618754618684
0.31703618754063206
0.3170361874850884
0.3170361869296516
0.31703618137524386
0.3170361258328451
0.3170355705738955
0.3166431298296055
0.3166431298296052
0.31664312982960174
0.31664312982956766
0.31664312982922516
0.3166431298257864
0.31664312979142084
0.3166431294477691
0.3166431260112298
0.31664309164598176
0.31664274800631487
0.31661069189804125
0.31661069189804075
0.3166106918980363
0.3166106918979942
0.3166106918975673
0.3166106918933079
0.3166106918506934
0.3166106914245837
0.316610687163477
0.3166102184267584
0.3166106445522631
0.31654511184807715
0.31654511184807693
0.3165451118480732
0.316545111848041
0.31654511184770673
0.3165451118443584
0.3165451118109054
0.31654511147635406
0.31654510813085146
0.3165450746760453
0.316544740148839
0.3166531075924473
0.31665310759244714
0.3166531075924435
0.3166531075924048
0.3166531075920227
0.3166531075881993
0.31665310754996345
0.3166531071675992
0.3166531033439775
0.3166530651092799
0.316652682914045
0.3165743897644504
0.31657438976445035
0.3165743897644466
0.31657438976441105
0.3165743897640625
0.3165743897605466
0.3165743897253918
0.3165743893738616
0.31657438585855774
0.31657435070600903
0.31657399923003615
0.3174041555504498
0.31740415555044965
0.3174041555504451
0.31740415555040546
0.3174041555500076
0.31740415554604823
0.3174041555064518
0.3174041551104794
0.31740415115076653
0.3174041115537973
0.3174037155992422
0.3188477875630989
0.3188477875630983
0.3188477875630944
0.3188477875630569
0.31884778756269566
0.31884778755906285
0.3188477875227262
0.3188477871593705
0.3188477835258075
0.3188477471902658
0.31884738384396843
0.3217684362773998
0.3217684362773995
0.3217684362773953
0.3217684362773553
0.32176843627694834
0.3217684362728824
0.32176843623225343
0.32176843582593173
0.32176843176273107
0.32176839113082295
0.3217679848215307
0.3198606843259245
0.31986068432592407
0.31986068432591935
0.31986068432587916
0.3198606843254775
0.3198606843214495
0.31986068428115894
0.3198606838782458
0.3198606798491232
0.31986063955799243
0.3198602366579237
0.3264557491717791
0.3264557491717785
0.3264557491717739
0.3264557491717287
0.3264557491712773
0.3264557491667734
0.3264557491216999
0.3264557486710038
0.32645574416402345
0.32645569909431454
0.3264552484075969
0.3514991152640339
0.3514991152640332
0.35149911526402716
0.35149911526396593
0.3514991152633546
0.35149911525725774
0.3514991151962449
0.35149911458615474
0.35149910848525473
0.35149904747631194
0.3514984373946086



Root relative squared error:
2-dimensional space:
 - 1. dimension: classifier.ridge, min: -12.0, max: -2.0, step: 1.0
 - 2. dimension: classifier.maxIts, min: 1.0, max: 15.0, step: 1.0
78.12120258433806
78.12120258433788
78.12120258433674
78.1212025843288
78.12120258424451
78.12120258340637
78.1212025750167
78.12120249112681
78.12120165223006
78.12119326367697
78.121109420256
78.22024004977858
78.2202400497785
78.22024004977722
78.2202400497664
78.22024004965353
78.22024004852678
78.22024003726075
78.2202399246003
78.2202387979953
78.22022753236156
78.22011491725047
78.2187036134323
78.21870361343223
78.2187036134309
78.21870361341871
78.21870361329744
78.2187036120812
78.21870359992108
78.21870347832649
78.21870226238217
78.21869010336918
78.21856855656476
78.23983813151152
78.23983813151139
78.23983813151023
78.23983813149661
78.23983813135898
78.23983812998814
78.23983811628078
78.23983797920721
78.2398366084616
78.23982290141974
78.23968587173026
78.14283730517688
78.1428373051768
78.14283730517596
78.14283730516753
78.14283730508302
78.14283730423438
78.14283729575347
78.14283721094532
78.14283636285828
78.14282788202375
78.14274307684072
78.13483210383205
78.13483210383193
78.13483210383083
78.13483210382043
78.13483210371508
78.13483210266394
78.1348320921473
78.13483198698974
78.13483093541167
78.13471525812804
78.13482041959485
78.11864791825516
78.1186479182551
78.11864791825418
78.11864791824624
78.11864791816375
78.11864791733743
78.11864790908172
78.1186478265194
78.11864700089889
78.11863874474794
78.11855618838528
78.14529966934955
78.14529966934951
78.14529966934862
78.14529966933905
78.14529966924476
78.1452996683012
78.14529965886517
78.14529956450333
78.1452986208901
78.1452891851327
78.1451948650062
78.12587327462724
78.12587327462722
78.12587327462629
78.12587327461752
78.1258732745315
78.12587327366383
78.12587326498816
78.12587317823571
78.12587231071075
78.12586363558208
78.12577689651472
78.33064718793351
78.33064718793347
78.33064718793234
78.33064718792257
78.33064718782438
78.33064718684726
78.33064717707545
78.33064707935533
78.3306461021568
78.33063633021094
78.33053861448789
78.68691419917006
78.68691419916992
78.68691419916895
78.68691419915969
78.68691419907056
78.68691419817404
78.68691418920669
78.68691409953588
78.6869132028263
78.68690423575248
78.68681456726476
79.40768706870938
79.4076870687093
79.40768706870826
79.40768706869838
79.40768706859795
79.40768706759452
79.40768705756791
79.40768695729372
79.40768595455596
79.40767592720249
79.40757565608358
78.93688212674523
78.93688212674513
78.93688212674397
78.93688212673405
78.93688212663493
78.93688212564086
78.93688211569776
78.93688201626475
78.93688102193694
78.93687107868227
78.93677164890927
80.56444650669573
80.56444650669557
80.56444650669445
80.5644465066833
80.5644465065719
80.5644465054604
80.56444649433693
80.5644463831118
80.56444527085577
80.56443414831875
80.56432292550818
86.74477855171482
86.74477855171466
86.74477855171317
86.74477855169805
86.74477855154717
86.74477855004257
86.7447785349855
86.74477838442427
86.74477687881246
86.74476182270848
86.74461126357488



Mean absolute error:
2-dimensional space:
 - 1. dimension: classifier.ridge, min: -12.0, max: -2.0, step: 1.0
 - 2. dimension: classifier.maxIts, min: 1.0, max: 15.0, step: 1.0
0.15132690305142782
0.15132690305142824
0.15132690305143154
0.15132690305146773
0.1513269030518251
0.1513269030554095
0.15132690309123764
0.1513269034495089
0.15132690703215854
0.15132694285066964
0.1513273002353611
0.15172760381510847
0.15172760381510833
0.15172760381511052
0.1517276038151422
0.15172760381544018
0.15172760381842026
0.15172760384819517
0.15172760414596642
0.1517276071236089
0.1517276368941316
0.1517279340053501
0.15181825276614708
0.15181825276614686
0.1518182527661487
0.1518182527661714
0.15181825276641447
0.15181825276882352
0.15181825279291764
0.15181825303382687
0.151818255442889
0.15181827952772148
0.15181851979710936
0.1518107847312798
0.15181078473128007
0.151810784731281
0.15181078473130277
0.15181078473152365
0.15181078473370765
0.15181078475552984
0.1518107849737694
0.1518107871560964
0.1518108089736215
0.15181102657069742
0.15090516984143484
0.1509051698414355
0.15090516984144006
0.15090516984148825
0.15090516984197289
0.15090516984682054
0.1509051698953073
0.1509051703801815
0.15090517522890717
0.15090522371635606
0.15090570860833566
0.1509524600079616
0.15095246000796247
0.1509524600079685
0.15095246000802928
0.15095246000864138
0.15095246001477533
0.1509524600760995
0.15095246068936666
0.15095246682204516
0.15095314182366062
0.1509525281525056
0.15091948165665975
0.15091948165665978
0.15091948165666447
0.15091948165670613
0.15091948165711455
0.1509194816611884
0.1509194817019179
0.1509194821092573
0.15091948618262505
0.15091952691585986
0.15091993420486077
0.15133216312038023
0.15133216312037956
0.15133216312038375
0.1513321631204229
0.15133216312081985
0.15133216312476747
0.1513321631642697
0.15133216355928822
0.15133216750939665
0.15133220700474573
0.1513326013810535
0.1515536873285514
0.15155368732855226
0.15155368732855973
0.15155368732863514
0.1515536873293863
0.15155368733687996
0.15155368741183603
0.15155368816141176
0.15155369565720575
0.1515537706189286
0.15155452061507813
0.15219556283463423
0.15219556283463467
0.15219556283463762
0.15219556283467583
0.15219556283503452
0.1521955628386243
0.1521955628745169
0.15219556323348032
0.15219556682308458
0.15219560271905844
0.15219596167088695
0.15081369198570393
0.1508136919857042
0.15081369198570893
0.15081369198576214
0.1508136919862903
0.1508136919915865
0.15081369204452846
0.1508136925739458
0.15081369786812918
0.15081375080996015
0.1508142802288729
0.15217945077550066
0.1521794507755014
0.15217945077550718
0.15217945077555906
0.15217945077606543
0.15217945078115896
0.15217945083207787
0.152179451341273
0.15217945643321135
0.15217950735260438
0.15218001654579294
0.1535187420060649
0.1535187420060654
0.1535187420060696
0.1535187420061068
0.153518742006498
0.15351874201039245
0.15351874204932067
0.15351874243863747
0.15351874633179957
0.15351878526343563
0.15351917458084227
0.15972899142852187
0.15972899142852226
0.1597289914285275
0.1597289914285802
0.15972899142911492
0.1597289914344545
0.15972899148785105
0.1597289920218191
0.15972899736148438
0.15972905075816474
0.15972958472547466
0.20467779278251924
0.2046777927825193
0.2046777927825209
0.20467779278253959
0.20467779278271403
0.20467779278444848
0.20467779280182036
0.20467779297551583
0.20467779471246988
0.20467781208201602
0.20467798577851942



Root absolute error:
2-dimensional space:
 - 1. dimension: classifier.ridge, min: -12.0, max: -2.0, step: 1.0
 - 2. dimension: classifier.maxIts, min: 1.0, max: 15.0, step: 1.0
46.080521983504454
46.080521983504575
46.080521983505584
46.080521983516604
46.08052198362543
46.08052198471691
46.080521995626924
46.08052210472403
46.08052319567589
46.08053410276283
46.08064292989666
46.20253928497078
46.20253928497075
46.202539284971415
46.20253928498106
46.20253928507179
46.20253928597926
46.20253929504601
46.20253938572027
46.20254029244152
46.202549357856846
46.20263983112868
46.230142777125096
46.230142777125025
46.23014277712559
46.23014277713251
46.230142777206524
46.2301427779401
46.23014278527699
46.23014285863621
46.230143592219186
46.230150926286235
46.23022409066473
46.22786868746928
46.22786868746937
46.22786868746966
46.22786868747628
46.22786868754354
46.227868688208595
46.22786869485366
46.22786876130974
46.227869425849654
46.22787606949943
46.227942329937186
45.9521000964349
45.9521000964351
45.95210009643649
45.95210009645116
45.95210009659874
45.9521000980749
45.95210011283959
45.95210026048853
45.952101736972914
45.95211650187532
45.95226415622543
45.966500414648635
45.966500414648905
45.96650041465074
45.96650041466925
45.96650041485563
45.966500416723484
45.96650043539729
45.96650062214314
45.96650248960373
45.96670803419727
45.96652116532875
45.95645818414302
45.95645818414302
45.956458184144445
45.956458184157135
45.95645818428151
45.95645818552203
45.95645819792456
45.95645832196339
45.95645956234371
45.95647196601209
45.95659598949622
46.08212372594488
46.082123725944676
46.08212372594595
46.08212372595788
46.08212372607875
46.08212372728084
46.08212373930966
46.082123859596656
46.0821250624433
46.08213708916337
46.08225718060616
46.14958001387962
46.149580013879884
46.14958001388216
46.14958001390512
46.14958001413385
46.149580016415754
46.149580039240604
46.149580267493754
46.14958255003633
46.149605376614076
46.149833757776705
46.345037383139804
46.34503738313994
46.345037383140834
46.34503738315247
46.3450373832617
46.34503738435482
46.34503739528447
46.34503750459234
46.34503859766195
46.34504952833705
46.345158832679445
45.92424419469494
45.92424419469503
45.92424419469647
45.92424419471267
45.9242441948735
45.92424419648625
45.92424421260759
45.92424437382035
45.92424598595096
45.924262107256276
45.92442332049302
46.340131103554796
46.340131103555024
46.34013110355678
46.340131103572574
46.340131103726776
46.340131105277806
46.34013112078311
46.340131275838004
46.340132826383034
46.34014833183621
46.340303386142125
46.747958381770864
46.74795838177102
46.74795838177229
46.74795838178362
46.74795838190275
46.747958383088644
46.747958394942664
46.747958513493444
46.747959698999374
46.74797155406331
46.74809010502123
48.639040068265956
48.63904006826608
48.639040068267676
48.63904006828373
48.63904006844655
48.639040070072504
48.63904008633227
48.63904024893076
48.63904187491107
48.63905813472247
48.63922073299064
62.326389687924404
62.32638968792441
62.32638968792491
62.32638968793059
62.32638968798372
62.326389688511874
62.32638969380178
62.32638974669375
62.32639027561325
62.326395564809914
62.32644845709399



Combined = (1-abs(CC)) + RRSE + RAE:
2-dimensional space:
 - 1. dimension: classifier.ridge, min: -12.0, max: -2.0, step: 1.0
 - 2. dimension: classifier.maxIts, min: 1.0, max: 15.0, step: 1.0
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN
NaN



Accuracy:
2-dimensional space:
 - 1. dimension: classifier.ridge, min: -12.0, max: -2.0, step: 1.0
 - 2. dimension: classifier.maxIts, min: 1.0, max: 15.0, step: 1.0
87.62685617896746
87.62685617896746
87.62685617896746
87.62685617896746
87.62685617896746
87.62685617896746
87.62685617896746
87.62685617896746
87.62685617896746
87.62685617896746
87.62685617896746
87.62132566435307
87.62132566435307
87.62132566435307
87.62132566435307
87.62132566435307
87.62132566435307
87.62132566435307
87.62132566435307
87.62132566435307
87.62132566435307
87.62132566435307
87.61441252108509
87.61441252108509
87.61441252108509
87.61441252108509
87.61441252108509
87.61441252108509
87.61441252108509
87.61441252108509
87.61441252108509
87.61441252108509
87.61441252108509
87.60058623454913
87.60058623454913
87.60058623454913
87.60058623454913
87.60058623454913
87.60058623454913
87.60058623454913
87.60058623454913
87.60058623454913
87.60058623454913
87.59920360589553
87.59643834858834
87.59643834858834
87.59643834858834
87.59643834858834
87.59643834858834
87.59643834858834
87.59643834858834
87.59643834858834
87.59643834858834
87.59643834858834
87.59643834858834
87.59090783397396
87.59090783397396
87.59090783397396
87.59090783397396
87.59090783397396
87.59090783397396
87.59090783397396
87.59090783397396
87.59090783397396
87.59090783397396
87.58952520532036
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.58122943339878
87.5715510328236
87.5715510328236
87.5715510328236
87.5715510328236
87.5715510328236
87.5715510328236
87.5715510328236
87.5715510328236
87.5715510328236
87.5715510328236
87.57016840417
87.51624588667976
87.51624588667976
87.51624588667976
87.51624588667976
87.51624588667976
87.51624588667976
87.51624588667976
87.51624588667976
87.51624588667976
87.51624588667976
87.51624588667976
87.43328816746399
87.43328816746399
