=== Predictions on user test set ===

    inst#     actual  predicted error prediction
       78        1:?       1:No       0.86 
       79        1:?      2:Yes       0.91 
       80        1:?      2:Yes       0.94 
       81        1:?      2:Yes       0.95 
       82        1:?      2:Yes       0.95 
       83        1:?      2:Yes       0.76 
       84        1:?      2:Yes       0.77 
       85        1:?      2:Yes       0.84 
       86        1:?      2:Yes       0.87 
       87        1:?      2:Yes       0.93 
       88        1:?      2:Yes       0.85 
       89        1:?      2:Yes       0.71 
       90        1:?      2:Yes       0.93 
       91        1:?      2:Yes       0.96 
       92        1:?      2:Yes       0.85 
       93        1:?      2:Yes       0.99 
       94        1:?      2:Yes       1 
       95        1:?      2:Yes       0.57 
       96        1:?      2:Yes       0.87 
       97        1:?      2:Yes       0.97 
       98        1:?      2:Yes       0.95 
       99        1:?      2:Yes       0.76 
      100        1:?      2:Yes       0.98 
      101        1:?      2:Yes       0.97 
      102        1:?      2:Yes       0.88 
      103        1:?      2:Yes       1 
      104        1:?      2:Yes       0.87 
      105        1:?      2:Yes       0.9 
      106        1:?      2:Yes       0.87 
      107        1:?      2:Yes       1 
      108        1:?      2:Yes       0.85 
      109        1:?      2:Yes       0.69 
      110        1:?      2:Yes       0.98 
      111        1:?      2:Yes       0.99 
      112        1:?      2:Yes       0.77 
      113        1:?      2:Yes       0.92 
      114        1:?      2:Yes       0.95 
      115        1:?      2:Yes       0.98 
      116        1:?      2:Yes       0.87 
      117        1:?      2:Yes       0.99 
      118        1:?      2:Yes       0.8 
      119        1:?      2:Yes       0.95 
      120        1:?      2:Yes       0.93 
      121        1:?      2:Yes       1 
      122        1:?      2:Yes       0.95 
      123        1:?      2:Yes       0.91 
      124        1:?      2:Yes       0.89 
      125        1:?      2:Yes       0.87 
      126        1:?      2:Yes       1 
      127        1:?      2:Yes       0.98 
      128        1:?      2:Yes       0.97 
      129        1:?      2:Yes       0.96 
      130        1:?      2:Yes       0.88 
      131        1:?      2:Yes       0.81 
      132        1:?      2:Yes       0.79 
      133        1:?      2:Yes       0.85 
      134        1:?      2:Yes       0.76 
      135        1:?      2:Yes       0.91 
      136        1:?      2:Yes       0.98 
      137        1:?      2:Yes       0.95 
      138        1:?       1:No       0.54 
      139        1:?      2:Yes       1 
      140        1:?      2:Yes       0.98 
      141        1:?       1:No       0.8 
      142        1:?      2:Yes       1 
      143        1:?      2:Yes       0.81 
      144        1:?      2:Yes       0.99 
      145        1:?      2:Yes       0.91 
      146        1:?      2:Yes       0.98 
      147        1:?       1:No       0.51 
      148        1:?      2:Yes       0.85 
      149        1:?      2:Yes       0.93 
      150        1:?      2:Yes       0.69 
      151        1:?      2:Yes       0.96 
      152        1:?      2:Yes       0.9 
      153        1:?      2:Yes       0.83 
      154        1:?      2:Yes       0.97 
      155        1:?      2:Yes       0.98 
      156        1:?      2:Yes       0.94 
      157        1:?      2:Yes       0.97 
      158        1:?      2:Yes       0.84 
      159        1:?      2:Yes       0.98 
      160        1:?      2:Yes       1 
      161        1:?      2:Yes       0.99 
      162        1:?      2:Yes       0.61 
      163        1:?      2:Yes       0.97 
      164        1:?      2:Yes       0.96 
      165        1:?      2:Yes       1 
      166        1:?      2:Yes       0.79 
      167        1:?      2:Yes       0.93 
      168        1:?       1:No       0.79 
      169        1:?      2:Yes       0.8 
      170        1:?      2:Yes       0.99 
      171        1:?      2:Yes       1 
      172        1:?      2:Yes       1 
      173        1:?      2:Yes       0.56 
      174        1:?      2:Yes       0.74 
      175        1:?      2:Yes       0.92 
      176        1:?      2:Yes       0.86 
      177        1:?      2:Yes       0.6 
      178        1:?      2:Yes       0.92 
      179        1:?      2:Yes       0.98 
      180        1:?      2:Yes       0.87 
      181        1:?      2:Yes       0.95 
      182        1:?      2:Yes       0.93 
      183        1:?      2:Yes       0.91 
      184        1:?      2:Yes       0.89 
      185        1:?      2:Yes       0.95 
      186        1:?      2:Yes       0.98 
      187        1:?      2:Yes       0.9 
      188        1:?      2:Yes       0.89 
      189        1:?      2:Yes       0.91 
      190        1:?      2:Yes       1 
      191        1:?      2:Yes       0.96 
      192        1:?      2:Yes       0.84 
      193        1:?      2:Yes       0.94 
      194        1:?      2:Yes       0.9 
      195        1:?      2:Yes       0.84 
      196        1:?      2:Yes       0.99 
      197        1:?      2:Yes       0.98 
      198        1:?      2:Yes       0.91 
      199        1:?      2:Yes       0.98 
      200        1:?       1:No       0.87 
      201        1:?      2:Yes       0.88 
      202        1:?      2:Yes       0.94 
      203        1:?      2:Yes       0.72 
      204        1:?      2:Yes       0.96 
      205        1:?      2:Yes       0.96 
      206        1:?      2:Yes       0.95 
      207        1:?      2:Yes       0.84 
      208        1:?      2:Yes       0.61 
      209        1:?      2:Yes       0.96 
      210        1:?      2:Yes       0.95 
      211        1:?      2:Yes       0.96 
      212        1:?      2:Yes       0.97 
      213        1:?      2:Yes       0.93 
      214        1:?      2:Yes       0.96 
      215        1:?      2:Yes       0.93 
      216        1:?      2:Yes       0.9 
      217        1:?      2:Yes       0.87 
      218        1:?      2:Yes       0.85 
      219        1:?      2:Yes       0.89 
      220        1:?      2:Yes       1 
      221        1:?      2:Yes       0.72 
      222        1:?      2:Yes       0.85 
      223        1:?      2:Yes       0.97 
      224        1:?      2:Yes       0.87 
      225        1:?       1:No       0.96 
      226        1:?      2:Yes       0.97 
      227        1:?      2:Yes       0.91 
      228        1:?      2:Yes       1 
      229        1:?      2:Yes       0.86 
      230        1:?       1:No       0.98 
      231        1:?      2:Yes       0.98 
      232        1:?      2:Yes       0.96 
      233        1:?      2:Yes       0.95 
      234        1:?      2:Yes       0.88 
      235        1:?      2:Yes       0.88 
      236        1:?       1:No       0.83 
      237        1:?      2:Yes       0.85 
      238        1:?      2:Yes       0.96 
      239        1:?      2:Yes       0.96 
      240        1:?      2:Yes       0.98 
      241        1:?      2:Yes       0.94 
      242        1:?      2:Yes       0.85 
      243        1:?      2:Yes       0.97 
      244        1:?      2:Yes       0.91 
      245        1:?      2:Yes       1 
      246        1:?       1:No       0.53 
      247        1:?      2:Yes       1 
      248        1:?      2:Yes       0.96 
      249        1:?      2:Yes       0.96 
      250        1:?      2:Yes       0.98 
      251        1:?      2:Yes       0.91 
      252        1:?      2:Yes       1 
      253        1:?      2:Yes       0.93 
      254        1:?      2:Yes       0.96 
      255        1:?      2:Yes       0.81 
      256        1:?      2:Yes       0.88 
      257        1:?      2:Yes       0.94 
      258        1:?      2:Yes       0.81 
      259        1:?      2:Yes       0.87 
      260        1:?      2:Yes       0.99 
      261        1:?      2:Yes       0.96 
      262        1:?       1:No       0.92 
      263        1:?      2:Yes       0.97 
      264        1:?      2:Yes       0.96 
      265        1:?      2:Yes       0.92 
      266        1:?      2:Yes       1 
      267        1:?      2:Yes       0.99 
      268        1:?      2:Yes       1 
      269        1:?      2:Yes       0.91 
      270        1:?      2:Yes       0.95 
      271        1:?      2:Yes       0.94 
      272        1:?      2:Yes       0.97 
      273        1:?       1:No       0.7 
      274        1:?       1:No       0.84 
      275        1:?      2:Yes       0.84 
      276        1:?       1:No       0.51 
      277        1:?       1:No       0.8 
      278        1:?      2:Yes       0.99 
      279        1:?      2:Yes       0.93 
      280        1:?      2:Yes       0.74 
      281        1:?      2:Yes       0.99 
      282        1:?      2:Yes       0.74 
      283        1:?      2:Yes       0.95 
      284        1:?       1:No       0.88 
      285        1:?      2:Yes       0.96 
      286        1:?      2:Yes       0.8 
      287        1:?      2:Yes       0.99 
      288        1:?      2:Yes       0.95 
      289        1:?      2:Yes       0.97 
      290        1:?      2:Yes       1 
      291        1:?      2:Yes       0.99 
      292        1:?      2:Yes       0.99 
      293        1:?      2:Yes       0.99 
      294        1:?       1:No       0.61 
      295        1:?      2:Yes       0.8 
      296        1:?      2:Yes       1 
      297        1:?       1:No       0.69 
      298        1:?      2:Yes       1 
      299        1:?      2:Yes       0.94 
      300        1:?      2:Yes       1 
      301        1:?      2:Yes       0.91 
      302        1:?      2:Yes       0.98 
      303        1:?      2:Yes       0.81 
      304        1:?      2:Yes       0.86 
      305        1:?      2:Yes       0.98 
      306        1:?      2:Yes       0.96 
      307        1:?      2:Yes       0.85 
      308        1:?      2:Yes       0.92 
      309        1:?      2:Yes       0.9 
      310        1:?      2:Yes       1 
      311        1:?      2:Yes       0.96 
      312        1:?      2:Yes       0.95 
      313        1:?      2:Yes       0.97 
      314        1:?      2:Yes       0.96 
      315        1:?      2:Yes       0.86 
      316        1:?      2:Yes       0.85 
      317        1:?       1:No       0.9 
      318        1:?      2:Yes       0.87 
      319        1:?      2:Yes       0.79 
      320        1:?      2:Yes       0.94 
      321        1:?      2:Yes       0.99 
      322        1:?      2:Yes       0.98 
      323        1:?      2:Yes       0.99 
      324        1:?      2:Yes       0.86 
      325        1:?      2:Yes       0.96 
      326        1:?      2:Yes       0.93 
      327        1:?      2:Yes       0.98 
      328        1:?      2:Yes       0.96 
      329        1:?      2:Yes       0.8 
      330        1:?      2:Yes       0.96 
      331        1:?      2:Yes       0.91 
      332        1:?      2:Yes       0.97 
      333        1:?      2:Yes       0.95 
      334        1:?      2:Yes       1 
      335        1:?      2:Yes       0.99 
      336        1:?      2:Yes       0.89 
      337        1:?      2:Yes       0.97 
      338        1:?      2:Yes       1 
      339        1:?      2:Yes       0.8 
      340        1:?      2:Yes       0.58 
      341        1:?      2:Yes       0.93 
      342        1:?      2:Yes       1 
      343        1:?      2:Yes       0.9 
      344        1:?      2:Yes       0.92 
      345        1:?      2:Yes       0.97 
      346        1:?      2:Yes       0.94 
      347        1:?      2:Yes       0.75 
      348        1:?      2:Yes       0.77 
      349        1:?      2:Yes       0.57 
      350        1:?      2:Yes       1 
      351        1:?      2:Yes       1 
      352        1:?      2:Yes       1 
      353        1:?      2:Yes       0.92 
      354        1:?      2:Yes       0.99 
      355        1:?      2:Yes       0.98 
      356        1:?      2:Yes       0.96 
      357        1:?      2:Yes       0.98 
      358        1:?      2:Yes       0.99 
      359        1:?       1:No       0.77 
      360        1:?      2:Yes       0.97 
      361        1:?      2:Yes       0.94 
      362        1:?      2:Yes       0.97 
      363        1:?      2:Yes       0.99 
      364        1:?      2:Yes       0.99 
      365        1:?      2:Yes       0.96 
      366        1:?      2:Yes       0.95 
      367        1:?      2:Yes       1 
      368        1:?      2:Yes       0.97 
      369        1:?      2:Yes       0.98 
      370        1:?      2:Yes       0.85 
      371        1:?      2:Yes       1 
      372        1:?      2:Yes       1 
      373        1:?      2:Yes       0.93 
      374        1:?      2:Yes       0.98 
      375        1:?      2:Yes       0.95 
      376        1:?      2:Yes       0.97 
      377        1:?      2:Yes       0.87 
      378        1:?      2:Yes       0.93 
      379        1:?      2:Yes       0.98 
      380        1:?      2:Yes       0.93 
      381        1:?      2:Yes       0.72 
      382        1:?      2:Yes       0.91 
      383        1:?      2:Yes       0.99 
      384        1:?      2:Yes       0.95 
      385        1:?       1:No       0.87 
      386        1:?      2:Yes       0.97 
      387        1:?      2:Yes       0.99 
      388        1:?      2:Yes       1 
      389        1:?      2:Yes       0.94 
      390        1:?      2:Yes       0.98 
      391        1:?       1:No       0.64 
      392        1:?      2:Yes       0.79 
      393        1:?      2:Yes       0.89 
      394        1:?      2:Yes       0.99 
      395        1:?      2:Yes       0.9 
      396        1:?      2:Yes       0.98 
      397        1:?      2:Yes       1 
      398        1:?       1:No       0.63 
      399        1:?      2:Yes       0.86 
      400        1:?      2:Yes       0.88 
      401        1:?      2:Yes       0.84 
      402        1:?      2:Yes       0.72 
      403        1:?      2:Yes       0.97 
      404        1:?      2:Yes       0.99 
      405        1:?      2:Yes       0.99 
      406        1:?      2:Yes       0.57 
      407        1:?      2:Yes       0.51 
      408        1:?      2:Yes       0.78 
      409        1:?      2:Yes       0.82 
      410        1:?      2:Yes       0.97 
      411        1:?      2:Yes       0.88 
      412        1:?      2:Yes       0.97 
      413        1:?      2:Yes       0.94 
      414        1:?      2:Yes       0.82 
      415        1:?      2:Yes       0.98 
      416        1:?      2:Yes       0.99 
      417        1:?      2:Yes       0.88 
      418        1:?      2:Yes       0.8 
      419        1:?      2:Yes       0.6 
      420        1:?      2:Yes       0.94 
      421        1:?       1:No       0.76 
      422        1:?      2:Yes       0.68 
      423        1:?      2:Yes       0.91 
      424        1:?      2:Yes       0.77 
      425        1:?      2:Yes       0.99 
      426        1:?      2:Yes       0.86 
      427        1:?      2:Yes       0.61 
      428        1:?      2:Yes       0.98 
      429        1:?      2:Yes       0.79 
      430        1:?       1:No       0.88 
      431        1:?      2:Yes       0.73 
      432        1:?      2:Yes       0.98 
      433        1:?      2:Yes       0.81 
      434        1:?       1:No       0.56 
      435        1:?      2:Yes       0.76 
      436        1:?      2:Yes       0.59 
      437        1:?      2:Yes       0.62 
      438        1:?      2:Yes       0.8 
      439        1:?      2:Yes       0.86 
      440        1:?      2:Yes       0.68 
      441        1:?      2:Yes       0.84 
      442        1:?      2:Yes       1 
      443        1:?      2:Yes       0.95 
      444        1:?      2:Yes       0.98 
      445        1:?      2:Yes       0.91 
      446        1:?      2:Yes       0.95 
      447        1:?      2:Yes       0.81 
      448        1:?      2:Yes       0.91 
      449        1:?      2:Yes       0.6 
      450        1:?      2:Yes       0.94 
      451        1:?      2:Yes       0.81 
      452        1:?       1:No       0.82 
      453        1:?      2:Yes       0.9 
      454        1:?      2:Yes       0.99 
      455        1:?       1:No       0.74 
      456        1:?      2:Yes       0.95 
      457        1:?      2:Yes       0.87 
      458        1:?      2:Yes       0.98 
      459        1:?      2:Yes       0.87 
      460        1:?       1:No       0.64 
      461        1:?       1:No       0.71 
      462        1:?      2:Yes       0.75 
      463        1:?      2:Yes       0.52 
      464        1:?       1:No       0.59 
      465        1:?       1:No       0.65 
      466        1:?       1:No       0.69 
      467        1:?      2:Yes       0.95 
      468        1:?      2:Yes       0.96 
      469        1:?      2:Yes       1 
      470        1:?      2:Yes       0.93 
      471        1:?      2:Yes       0.59 
      472        1:?      2:Yes       0.83 
      473        1:?      2:Yes       0.95 
      474        1:?      2:Yes       0.59 
      475        1:?      2:Yes       1 
      476        1:?      2:Yes       0.85 
      477        1:?       1:No       0.53 
      478        1:?      2:Yes       0.55 
      479        1:?      2:Yes       0.75 
      480        1:?      2:Yes       0.83 
      481        1:?      2:Yes       0.97 
      482        1:?      2:Yes       0.94 
      483        1:?      2:Yes       0.89 
      484        1:?       1:No       0.59 
      485        1:?      2:Yes       0.84 
      486        1:?       1:No       0.65 
      487        1:?      2:Yes       0.91 
      488        1:?       1:No       0.83 
      489        1:?       1:No       0.56 
      490        1:?      2:Yes       0.87 
      491        1:?       1:No       0.56 
      492        1:?       1:No       0.56 
      493        1:?      2:Yes       0.69 
      494        1:?      2:Yes       0.91 
      495        1:?      2:Yes       0.91 
      496        1:?      2:Yes       0.53 
      497        1:?      2:Yes       0.79 
      498        1:?      2:Yes       0.94 
      499        1:?      2:Yes       0.67 
      500        1:?       1:No       0.69 
      501        1:?      2:Yes       0.7 
      502        1:?       1:No       0.96 
      503        1:?      2:Yes       0.6 
      504        1:?      2:Yes       0.79 
      505        1:?      2:Yes       0.72 
      506        1:?      2:Yes       0.98 
      507        1:?      2:Yes       0.58 
      508        1:?      2:Yes       0.95 
      509        1:?       1:No       0.6 
      510        1:?       1:No       0.62 
      511        1:?      2:Yes       0.81 
      512        1:?      2:Yes       0.74 
      513        1:?      2:Yes       0.78 
      514        1:?      2:Yes       0.97 
      515        1:?      2:Yes       0.96 
      516        1:?      2:Yes       0.79 
      517        1:?      2:Yes       0.85 
      518        1:?      2:Yes       0.58 
      519        1:?      2:Yes       0.67 
      520        1:?      2:Yes       0.52 
      521        1:?      2:Yes       0.56 
      522        1:?      2:Yes       0.94 
      523        1:?      2:Yes       0.8 
      524        1:?      2:Yes       0.62 
      525        1:?       1:No       0.64 
      526        1:?       1:No       0.79 
      527        1:?       1:No       0.61 
      528        1:?       1:No       0.51 
      529        1:?       1:No       0.99 
      530        1:?      2:Yes       1 
      531        1:?      2:Yes       0.82 
      532        1:?      2:Yes       0.66 
      533        1:?       1:No       0.58 
      534        1:?      2:Yes       0.98 
      535        1:?      2:Yes       0.68 
      536        1:?       1:No       0.95 
      537        1:?      2:Yes       0.78 
      538        1:?      2:Yes       0.97 
      539        1:?      2:Yes       0.97 
      540        1:?       1:No       0.64 
      541        1:?      2:Yes       0.91 
      542        1:?       1:No       0.54 
      543        1:?      2:Yes       0.95 
      544        1:?       1:No       0.99 
      545        1:?      2:Yes       0.93 
      546        1:?      2:Yes       0.91 
      547        1:?      2:Yes       0.82 
      548        1:?      2:Yes       0.88 
      549        1:?      2:Yes       0.74 
      550        1:?      2:Yes       0.91 
      551        1:?      2:Yes       0.53 
      552        1:?      2:Yes       0.88 
      553        1:?      2:Yes       0.9 
      554        1:?      2:Yes       0.94 
      555        1:?      2:Yes       0.96 
      556        1:?      2:Yes       0.91 
      557        1:?      2:Yes       0.93 
      558        1:?      2:Yes       0.71 
      559        1:?      2:Yes       0.89 
      560        1:?       1:No       0.56 
      561        1:?       1:No       0.55 
      562        1:?      2:Yes       0.94 
      563        1:?      2:Yes       0.76 
      564        1:?       1:No       0.5 
      565        1:?      2:Yes       0.93 
      566        1:?      2:Yes       0.99 
      567        1:?      2:Yes       0.66 
      568        1:?      2:Yes       0.97 
      569        1:?      2:Yes       0.89 
      570        1:?      2:Yes       0.81 
      571        1:?       1:No       0.89 
      572        1:?      2:Yes       0.94 
      573        1:?      2:Yes       0.6 
      574        1:?      2:Yes       0.63 
      575        1:?       1:No       0.64 
      576        1:?      2:Yes       0.93 
      577        1:?      2:Yes       0.95 
      578        1:?      2:Yes       0.95 
      579        1:?      2:Yes       0.96 
      580        1:?      2:Yes       0.98 
      581        1:?      2:Yes       0.9 
      582        1:?      2:Yes       0.74 
      583        1:?      2:Yes       0.83 
      584        1:?      2:Yes       0.85 
      585        1:?      2:Yes       0.85 
      586        1:?       1:No       0.54 
      587        1:?       1:No       0.89 
      588        1:?      2:Yes       1 
      589        1:?      2:Yes       0.65 
      590        1:?       1:No       0.73 
      591        1:?      2:Yes       0.83 
      592        1:?      2:Yes       0.72 
      593        1:?      2:Yes       0.94 
      594        1:?      2:Yes       1 
      595        1:?       1:No       0.63 
      596        1:?      2:Yes       0.99 
      597        1:?      2:Yes       0.55 
      598        1:?      2:Yes       0.56 
      599        1:?      2:Yes       0.51 
      600        1:?       1:No       0.52 
      601        1:?      2:Yes       0.93 
      602        1:?      2:Yes       0.94 
      603        1:?      2:Yes       0.98 
      604        1:?       1:No       0.7 
      605        1:?       1:No       0.57 
      606        1:?      2:Yes       0.98 
      607        1:?       1:No       0.71 
      608        1:?      2:Yes       0.89 
      609        1:?      2:Yes       1 
      610        1:?      2:Yes       0.96 
      611        1:?       1:No       0.93 
      612        1:?      2:Yes       0.91 
      613        1:?      2:Yes       0.69 
      614        1:?      2:Yes       0.89 
      615        1:?      2:Yes       0.82 
      616        1:?      2:Yes       0.69 
      617        1:?      2:Yes       0.83 
      618        1:?       1:No       0.51 
      619        1:?      2:Yes       0.84 
      620        1:?      2:Yes       0.73 
      621        1:?      2:Yes       0.85 
      622        1:?      2:Yes       0.99 
      623        1:?      2:Yes       0.95 
      624        1:?      2:Yes       0.63 
      625        1:?      2:Yes       0.8 
      626        1:?      2:Yes       0.82 
      627        1:?      2:Yes       0.67 
      628        1:?      2:Yes       0.63 
      629        1:?      2:Yes       0.96 
      630        1:?      2:Yes       0.85 
      631        1:?      2:Yes       0.98 
      632        1:?      2:Yes       0.73 
      633        1:?      2:Yes       0.8 
      634        1:?      2:Yes       0.89 
      635        1:?      2:Yes       0.96 
      636        1:?      2:Yes       0.64 
      637        1:?      2:Yes       0.99 
      638        1:?      2:Yes       0.66 
      639        1:?       1:No       0.56 
      640        1:?      2:Yes       0.92 
      641        1:?      2:Yes       0.58 
      642        1:?      2:Yes       1 
      643        1:?      2:Yes       0.93 
      644        1:?      2:Yes       0.98 
      645        1:?      2:Yes       1 
      646        1:?       1:No       0.68 
      647        1:?      2:Yes       1 
      648        1:?      2:Yes       0.94 
      649        1:?      2:Yes       0.92 
      650        1:?       1:No       0.58 
      651        1:?      2:Yes       0.99 
      652        1:?      2:Yes       0.95 
      653        1:?      2:Yes       0.93 
      654        1:?      2:Yes       0.85 
      655        1:?      2:Yes       0.97 
      656        1:?      2:Yes       0.62 
      657        1:?      2:Yes       0.95 
      658        1:?       1:No       0.97 
      659        1:?      2:Yes       0.95 
      660        1:?      2:Yes       0.97 
      661        1:?      2:Yes       0.99 
      662        1:?      2:Yes       1 
      663        1:?      2:Yes       0.95 
      664        1:?      2:Yes       0.98 
      665        1:?      2:Yes       0.96 
      666        1:?      2:Yes       0.99 
      667        1:?      2:Yes       0.94 
      668        1:?      2:Yes       1 
      669        1:?      2:Yes       1 
      670        1:?      2:Yes       0.96 
      671        1:?      2:Yes       0.74 
      672        1:?      2:Yes       0.99 
      673        1:?      2:Yes       0.9 
      674        1:?      2:Yes       0.89 
      675        1:?      2:Yes       0.99 
      676        1:?      2:Yes       0.97 
      677        1:?      2:Yes       0.98 
      678        1:?      2:Yes       0.84 
      679        1:?      2:Yes       0.83 
      680        1:?      2:Yes       0.94 
      681        1:?      2:Yes       0.95 
      682        1:?      2:Yes       1 
      683        1:?      2:Yes       1 
      684        1:?      2:Yes       0.93 
      685        1:?       1:No       0.93 
      686        1:?      2:Yes       0.99 
      687        1:?      2:Yes       0.97 
      688        1:?      2:Yes       0.86 
      689        1:?      2:Yes       0.99 
      690        1:?      2:Yes       0.99 
      691        1:?      2:Yes       1 
      692        1:?      2:Yes       0.85 
      693        1:?      2:Yes       0.66 
      694        1:?      2:Yes       0.82 
      695        1:?      2:Yes       0.92 
      696        1:?      2:Yes       0.98 
      697        1:?      2:Yes       0.99 
      698        1:?      2:Yes       0.97 
      699        1:?      2:Yes       0.92 
      700        1:?      2:Yes       0.99 
      701        1:?      2:Yes       0.91 
      702        1:?      2:Yes       0.95 
      703        1:?      2:Yes       0.95 
      704        1:?      2:Yes       0.97 
      705        1:?      2:Yes       0.89 
      706        1:?      2:Yes       0.94 
      707        1:?      2:Yes       1 
      708        1:?      2:Yes       0.85 
      709        1:?      2:Yes       0.99 
      710        1:?      2:Yes       0.96 
      711        1:?      2:Yes       1 
      712        1:?      2:Yes       1 
      713        1:?      2:Yes       1 
      714        1:?      2:Yes       1 
      715        1:?      2:Yes       0.94 
      716        1:?      2:Yes       0.97 
      717        1:?      2:Yes       0.99 
      718        1:?      2:Yes       0.91 
      719        1:?      2:Yes       0.97 
      720        1:?      2:Yes       0.98 
      721        1:?      2:Yes       0.97 
      722        1:?      2:Yes       1 
      723        1:?      2:Yes       1 
      724        1:?      2:Yes       1 
      725        1:?      2:Yes       1 
      726        1:?      2:Yes       0.99 
      727        1:?      2:Yes       0.97 
      728        1:?      2:Yes       1 
      729        1:?      2:Yes       0.97 
      730        1:?      2:Yes       0.99 
      731        1:?      2:Yes       1 
      732        1:?      2:Yes       0.94 
      733        1:?      2:Yes       0.95 
      734        1:?       1:No       0.55 
      735        1:?      2:Yes       0.99 
      736        1:?      2:Yes       0.99 
      737        1:?      2:Yes       0.89 
      738        1:?      2:Yes       1 
      739        1:?      2:Yes       0.81 
      740        1:?      2:Yes       1 
      741        1:?       1:No       0.56 
      742        1:?      2:Yes       0.98 
      743        1:?      2:Yes       0.96 
      744        1:?      2:Yes       1 
      745        1:?      2:Yes       0.97 
      746        1:?      2:Yes       1 
      747        1:?      2:Yes       1 
      748        1:?      2:Yes       0.81 
      749        1:?      2:Yes       0.91 
      750        1:?      2:Yes       0.97 
      751        1:?      2:Yes       0.98 
      752        1:?      2:Yes       0.65 
      753        1:?      2:Yes       0.82 
      754        1:?      2:Yes       0.64 
      755        1:?      2:Yes       0.96 
      756        1:?      2:Yes       0.9 
      757        1:?      2:Yes       0.72 
      758        1:?      2:Yes       0.93 
      759        1:?      2:Yes       0.96 
      760        1:?      2:Yes       0.96 
      761        1:?      2:Yes       0.96 
      762        1:?      2:Yes       0.83 
      763        1:?      2:Yes       0.75 
      764        1:?      2:Yes       0.96 
      765        1:?      2:Yes       1 
      766        1:?      2:Yes       0.94 
      767        1:?      2:Yes       1 
      768        1:?      2:Yes       0.98 
      769        1:?      2:Yes       0.97 
      770        1:?      2:Yes       0.92 
      771        1:?      2:Yes       0.97 
      772        1:?      2:Yes       0.93 
      773        1:?      2:Yes       0.99 
      774        1:?      2:Yes       0.97 
      775        1:?      2:Yes       0.94 
      776        1:?      2:Yes       0.98 
      777        1:?      2:Yes       0.89 
      778        1:?      2:Yes       1 
      779        1:?      2:Yes       0.97 
      780        1:?      2:Yes       1 
      781        1:?      2:Yes       0.8 
      782        1:?      2:Yes       0.95 
      783        1:?      2:Yes       1 
      784        1:?      2:Yes       1 
      785        1:?      2:Yes       0.85 
      786        1:?      2:Yes       0.96 
      787        1:?      2:Yes       0.78 
      788        1:?      2:Yes       0.95 
      789        1:?      2:Yes       1 
      790        1:?      2:Yes       0.99 
      791        1:?      2:Yes       0.99 
      792        1:?      2:Yes       0.75 
